302359-021,4
314192-117,2
314193-117,2
315115-038,3
315115-112,12
315122-001,1
315122-111,17
315123-001,1
315123-111,2
318330-001,1
318429-003,1
318429-111,3
322992-016,1
325001-700,4
325213-043,5
325213-045,1
325213-047,1
325213-206,1
329798-002,2
333824-021,1
333824-057,2
333824-420,2
342132-004,1
343738-013,2
343738-424,3
343738-425,1
343738-620,2
343738-703,2
343880-403,7
343938-013,4
343938-424,2
343938-425,3
343938-620,1
343938-624,7
343938-703,4
371760-209,2
378037-623,17
378038-123,4
378038-623,17
384664-006,6
384664-145,2
384665-006,4
414571-006,2
414571-042,1
414571-103,5
414571-117,1
414574-705,1
441140-035,1
443686-004,3
443686-205,3
443686-300,1
511881-010,3
528895-106,4
537384-089,2
537384-111,2
554724-104,1
554724-601,1
554725-104,3
554725-601,1
555088-031,18
555088-710,4
575441-031,5
599409-020,3
634835-006,20
634835-012,3
634835-023,4
634835-108,3
644791-301,3
656503-031,3
656504-031,1
679421-100,1
683801-010,1
704949-011,3
704950-011,2
705404-001,2
705404-603,1
719583-010,1
723946-301,1
725746-010,2
726086-010,7
728774-010,1
749571-011,3
749747-010,3
749760-102,1
749794-010,4
749864-010,3
749864-700,1
777330-971,1
777330-972,3
777331-972,3
800188-010,4
800188-091,1
800200-021,2
800202-010,1
802007-012,2
803103-010,3
803146-010,1
804409-010,6
804409-063,2
805145-023,1
805151-033,1
805163-072,1
805553-010,1
805553-609,1
806771-001,1
806862-012,1
807471-010,1
807471-101,6
807471-103,15
807603-003,1
807758-600,1
807759-600,5
807760-600,3
811650-001,1
812654-011,5
812654-414,1
812655-011,6
818383-014,2
818386-600,1
818592-996,2
819151-008,2
819685-002,21
819685-101,3
819686-401,1
819717-010,1
819717-100,1
820438-009,1
823511-008,4
823511-011,1
823511-012,2
823511-104,5
823511-703,2
826486-002,2
826488-410,2
828159-010,1
829361-010,1
829361-100,1
829748-010,1
830848-410,1
830916-010,1
831282-010,3
831391-010,8
831531-100,1
831553-011,1
831714-010,3
831949-616,1
831975-616,1
831977-616,2
832033-021,4
832105-010,3
832837-043,1
833178-010,1
833197-012,1
833288-010,3
833288-100,2
833411-002,2
833411-010,8
833411-110,1
833535-102,11
833536-102,2
833537-102,1
833603-006,1
834189-065,1
837463-010,1
837996-010,1
837996-065,1
838067-010,1
838078-010,1
838078-657,1
838092-010,1
838937-001,1
839358-451,1
839364-016,1
839364-451,1
842846-657,1
844441-001,1
844447-002,2
844799-002,1
844807-010,1
844807-678,1
844868-014,5
844868-403,1
844906-010,1
844994-002,14
845021-010,4
845021-100,1
845048-651,1
845052-101,3
845053-300,1
845128-101,3
846440-996,1
847255-456,1
847569-019,1
